YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Race/Ethnicity,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AK,Alaska,31.5,Hispanic,"(64.84507995700051, -147.72205903599973)",Hispanic,RACE,RACEHIS
2011,2011,AK,Alaska,,Asian,"(64.84507995700051, -147.72205903599973)",Asian,RACE,RACEASN
2011,2011,AK,Alaska,,Hawaiian/Pacific Islander,"(64.84507995700051, -147.72205903599973)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,AK,Alaska,30.9,American Indian/Alaska Native,"(64.84507995700051, -147.72205903599973)",American Indian/Alaska Native,RACE,RACENAA
2011,2011,AK,Alaska,23.3,2 or more races,"(64.84507995700051, -147.72205903599973)",2 or more races,RACE,RACE2PLUS
2011,2011,AK,Alaska,35.5,Other,"(64.84507995700051, -147.72205903599973)",Other,RACE,RACEOTH
2012,2012,AK,Alaska,26,Non-Hispanic White,"(64.84507995700051, -147.72205903599973)",Non-Hispanic White,RACE,RACEWHT
2012,2012,AK,Alaska,39,Non-Hispanic Black,"(64.84507995700051, -147.72205903599973)",Non-Hispanic Black,RACE,RACEBLK
2012,2012,AK,Alaska,21.1,Hispanic,"(64.84507995700051, -147.72205903599973)",Hispanic,RACE,RACEHIS
2012,2012,AK,Alaska,2.3,Asian,"(64.84507995700051, -147.72205903599973)",Asian,RACE,RACEASN
2012,2012,AK,Alaska,,Hawaiian/Pacific Islander,"(64.84507995700051, -147.72205903599973)",Hawaiian/Pacific Islander,RACE,RACEHPI
2012,2012,AK,Alaska,31.9,American Indian/Alaska Native,"(64.84507995700051, -147.72205903599973)",American Indian/Alaska Native,RACE,RACENAA
2012,2012,AK,Alaska,22.4,2 or more races,"(64.84507995700051, -147.72205903599973)",2 or more races,RACE,RACE2PLUS
2012,2012,AK,Alaska,21.5,Other,"(64.84507995700051, -147.72205903599973)",Other,RACE,RACEOTH
2013,2013,AK,Alaska,26.4,Non-Hispanic White,"(64.84507995700051, -147.72205903599973)",Non-Hispanic White,RACE,RACEWHT
2013,2013,AK,Alaska,39.5,Non-Hispanic Black,"(64.84507995700051, -147.72205903599973)",Non-Hispanic Black,RACE,RACEBLK
2013,2013,AK,Alaska,31.7,Hispanic,"(64.84507995700051, -147.72205903599973)",Hispanic,RACE,RACEHIS
2013,2013,AK,Alaska,30.3,Asian,"(64.84507995700051, -147.72205903599973)",Asian,RACE,RACEASN
2013,2013,AK,Alaska,,Hawaiian/Pacific Islander,"(64.84507995700051, -147.72205903599973)",Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,AK,Alaska,33.6,American Indian/Alaska Native,"(64.84507995700051, -147.72205903599973)",American Indian/Alaska Native,RACE,RACENAA
2013,2013,AK,Alaska,23.2,2 or more races,"(64.84507995700051, -147.72205903599973)",2 or more races,RACE,RACE2PLUS
2013,2013,AK,Alaska,,Other,"(64.84507995700051, -147.72205903599973)",Other,RACE,RACEOTH
2014,2014,AK,Alaska,28.6,Non-Hispanic White,"(64.84507995700051, -147.72205903599973)",Non-Hispanic White,RACE,RACEWHT
2014,2014,AK,Alaska,42.3,Non-Hispanic Black,"(64.84507995700051, -147.72205903599973)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,AK,Alaska,29.6,Hispanic,"(64.84507995700051, -147.72205903599973)",Hispanic,RACE,RACEHIS
2014,2014,AK,Alaska,17.8,Asian,"(64.84507995700051, -147.72205903599973)",Asian,RACE,RACEASN
2014,2014,AK,Alaska,,Hawaiian/Pacific Islander,"(64.84507995700051, -147.72205903599973)",Hawaiian/Pacific Islander,RACE,RACEHPI
2014,2014,AK,Alaska,33.8,American Indian/Alaska Native,"(64.84507995700051, -147.72205903599973)",American Indian/Alaska Native,RACE,RACENAA
2014,2014,AK,Alaska,34,2 or more races,"(64.84507995700051, -147.72205903599973)",2 or more races,RACE,RACE2PLUS
2014,2014,AK,Alaska,,Other,"(64.84507995700051, -147.72205903599973)",Other,RACE,RACEOTH
2015,2015,AK,Alaska,24.1,Hispanic,"(64.84507995700051, -147.72205903599973)",Hispanic,RACE,RACEHIS
2015,2015,AK,Alaska,,Hawaiian/Pacific Islander,"(64.84507995700051, -147.72205903599973)",Hawaiian/Pacific Islander,RACE,RACEHPI
2015,2015,AK,Alaska,,Other,"(64.84507995700051, -147.72205903599973)",Other,RACE,RACEOTH
2015,2015,AK,Alaska,18.5,Asian,"(64.84507995700051, -147.72205903599973)",Asian,RACE,RACEASN
2015,2015,AK,Alaska,28.1,Non-Hispanic White,"(64.84507995700051, -147.72205903599973)",Non-Hispanic White,RACE,RACEWHT
2015,2015,AK,Alaska,29.1,2 or more races,"(64.84507995700051, -147.72205903599973)",2 or more races,RACE,RACE2PLUS
2015,2015,AK,Alaska,39.1,American Indian/Alaska Native,"(64.84507995700051, -147.72205903599973)",American Indian/Alaska Native,RACE,RACENAA
2015,2015,AK,Alaska,39.3,Non-Hispanic Black,"(64.84507995700051, -147.72205903599973)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,AZ,Arizona,21.2,Non-Hispanic White,"(34.865970280000454, -111.76381127699972)",Non-Hispanic White,RACE,RACEWHT
2011,2011,AZ,Arizona,26.8,Non-Hispanic Black,"(34.865970280000454, -111.76381127699972)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,AZ,Arizona,33.8,Hispanic,"(34.865970280000454, -111.76381127699972)",Hispanic,RACE,RACEHIS
2011,2011,AZ,Arizona,13,Asian,"(34.865970280000454, -111.76381127699972)",Asian,RACE,RACEASN
2011,2011,AZ,Arizona,,Hawaiian/Pacific Islander,"(34.865970280000454, -111.76381127699972)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,AZ,Arizona,34.2,American Indian/Alaska Native,"(34.865970280000454, -111.76381127699972)",American Indian/Alaska Native,RACE,RACENAA
2011,2011,AZ,Arizona,20.8,2 or more races,"(34.865970280000454, -111.76381127699972)",2 or more races,RACE,RACE2PLUS
2011,2011,AZ,Arizona,,Other,"(34.865970280000454, -111.76381127699972)",Other,RACE,RACEOTH
2012,2012,AZ,Arizona,23.1,Non-Hispanic White,"(34.865970280000454, -111.76381127699972)",Non-Hispanic White,RACE,RACEWHT
2012,2012,AZ,Arizona,35.4,Non-Hispanic Black,"(34.865970280000454, -111.76381127699972)",Non-Hispanic Black,RACE,RACEBLK
2012,2012,AZ,Arizona,30.9,Hispanic,"(34.865970280000454, -111.76381127699972)",Hispanic,RACE,RACEHIS
2012,2012,AZ,Arizona,4.3,Asian,"(34.865970280000454, -111.76381127699972)",Asian,RACE,RACEASN
2012,2012,AZ,Arizona,,Hawaiian/Pacific Islander,"(34.865970280000454, -111.76381127699972)",Hawaiian/Pacific Islander,RACE,RACEHPI
