YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Race/Ethnicity,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2014,2014,FL,Florida,,American Indian/Alaska Native,"(28.932040377000476, -81.92896053899966)",American Indian/Alaska Native,RACE,RACENAA
2014,2014,FL,Florida,23.2,2 or more races,"(28.932040377000476, -81.92896053899966)",2 or more races,RACE,RACE2PLUS
2014,2014,FL,Florida,,Other,"(28.932040377000476, -81.92896053899966)",Other,RACE,RACEOTH
2015,2015,FL,Florida,,Hawaiian/Pacific Islander,"(28.932040377000476, -81.92896053899966)",Hawaiian/Pacific Islander,RACE,RACEHPI
2015,2015,FL,Florida,,Other,"(28.932040377000476, -81.92896053899966)",Other,RACE,RACEOTH
2015,2015,FL,Florida,7.3,Asian,"(28.932040377000476, -81.92896053899966)",Asian,RACE,RACEASN
2015,2015,FL,Florida,13.2,American Indian/Alaska Native,"(28.932040377000476, -81.92896053899966)",American Indian/Alaska Native,RACE,RACENAA
2015,2015,FL,Florida,24.8,2 or more races,"(28.932040377000476, -81.92896053899966)",2 or more races,RACE,RACE2PLUS
2015,2015,FL,Florida,26,Non-Hispanic White,"(28.932040377000476, -81.92896053899966)",Non-Hispanic White,RACE,RACEWHT
2015,2015,FL,Florida,26.1,Hispanic,"(28.932040377000476, -81.92896053899966)",Hispanic,RACE,RACEHIS
2015,2015,FL,Florida,35.3,Non-Hispanic Black,"(28.932040377000476, -81.92896053899966)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,GA,Georgia,25,Non-Hispanic White,"(32.83968109300048, -83.62758034599966)",Non-Hispanic White,RACE,RACEWHT
2011,2011,GA,Georgia,36.8,Non-Hispanic Black,"(32.83968109300048, -83.62758034599966)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,GA,Georgia,26.4,Hispanic,"(32.83968109300048, -83.62758034599966)",Hispanic,RACE,RACEHIS
2011,2011,GA,Georgia,5.4,Asian,"(32.83968109300048, -83.62758034599966)",Asian,RACE,RACEASN
2011,2011,GA,Georgia,,Hawaiian/Pacific Islander,"(32.83968109300048, -83.62758034599966)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,GA,Georgia,31.6,American Indian/Alaska Native,"(32.83968109300048, -83.62758034599966)",American Indian/Alaska Native,RACE,RACENAA
2011,2011,GA,Georgia,27.1,2 or more races,"(32.83968109300048, -83.62758034599966)",2 or more races,RACE,RACE2PLUS
2011,2011,GA,Georgia,8.6,Other,"(32.83968109300048, -83.62758034599966)",Other,RACE,RACEOTH
2012,2012,GA,Georgia,26.3,Non-Hispanic White,"(32.83968109300048, -83.62758034599966)",Non-Hispanic White,RACE,RACEWHT
2012,2012,GA,Georgia,36.4,Non-Hispanic Black,"(32.83968109300048, -83.62758034599966)",Non-Hispanic Black,RACE,RACEBLK
2012,2012,GA,Georgia,29.2,Hispanic,"(32.83968109300048, -83.62758034599966)",Hispanic,RACE,RACEHIS
2012,2012,GA,Georgia,8.5,Asian,"(32.83968109300048, -83.62758034599966)",Asian,RACE,RACEASN
2012,2012,GA,Georgia,,Hawaiian/Pacific Islander,"(32.83968109300048, -83.62758034599966)",Hawaiian/Pacific Islander,RACE,RACEHPI
2012,2012,GA,Georgia,,American Indian/Alaska Native,"(32.83968109300048, -83.62758034599966)",American Indian/Alaska Native,RACE,RACENAA
2012,2012,GA,Georgia,36.8,2 or more races,"(32.83968109300048, -83.62758034599966)",2 or more races,RACE,RACE2PLUS
2012,2012,GA,Georgia,17.9,Other,"(32.83968109300048, -83.62758034599966)",Other,RACE,RACEOTH
2013,2013,GA,Georgia,27.4,Non-Hispanic White,"(32.83968109300048, -83.62758034599966)",Non-Hispanic White,RACE,RACEWHT
2013,2013,GA,Georgia,38.3,Non-Hispanic Black,"(32.83968109300048, -83.62758034599966)",Non-Hispanic Black,RACE,RACEBLK
2013,2013,GA,Georgia,28.5,Hispanic,"(32.83968109300048, -83.62758034599966)",Hispanic,RACE,RACEHIS
2013,2013,GA,Georgia,12,Asian,"(32.83968109300048, -83.62758034599966)",Asian,RACE,RACEASN
2013,2013,GA,Georgia,,Hawaiian/Pacific Islander,"(32.83968109300048, -83.62758034599966)",Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,GA,Georgia,30.7,American Indian/Alaska Native,"(32.83968109300048, -83.62758034599966)",American Indian/Alaska Native,RACE,RACENAA
2013,2013,GA,Georgia,37.1,2 or more races,"(32.83968109300048, -83.62758034599966)",2 or more races,RACE,RACE2PLUS
2013,2013,GA,Georgia,36.7,Other,"(32.83968109300048, -83.62758034599966)",Other,RACE,RACEOTH
2014,2014,GA,Georgia,28.9,Non-Hispanic White,"(32.83968109300048, -83.62758034599966)",Non-Hispanic White,RACE,RACEWHT
2014,2014,GA,Georgia,37.8,Non-Hispanic Black,"(32.83968109300048, -83.62758034599966)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,GA,Georgia,23.3,Hispanic,"(32.83968109300048, -83.62758034599966)",Hispanic,RACE,RACEHIS
2014,2014,GA,Georgia,4.3,Asian,"(32.83968109300048, -83.62758034599966)",Asian,RACE,RACEASN
2014,2014,GA,Georgia,,Hawaiian/Pacific Islander,"(32.83968109300048, -83.62758034599966)",Hawaiian/Pacific Islander,RACE,RACEHPI
2014,2014,GA,Georgia,,American Indian/Alaska Native,"(32.83968109300048, -83.62758034599966)",American Indian/Alaska Native,RACE,RACENAA
2014,2014,GA,Georgia,27.2,2 or more races,"(32.83968109300048, -83.62758034599966)",2 or more races,RACE,RACE2PLUS
2014,2014,GA,Georgia,,Other,"(32.83968109300048, -83.62758034599966)",Other,RACE,RACEOTH
2015,2015,GA,Georgia,,American Indian/Alaska Native,"(32.83968109300048, -83.62758034599966)",American Indian/Alaska Native,RACE,RACENAA
2015,2015,GA,Georgia,,Hawaiian/Pacific Islander,"(32.83968109300048, -83.62758034599966)",Hawaiian/Pacific Islander,RACE,RACEHPI
2015,2015,GA,Georgia,,Other,"(32.83968109300048, -83.62758034599966)",Other,RACE,RACEOTH
2015,2015,GA,Georgia,5.6,Asian,"(32.83968109300048, -83.62758034599966)",Asian,RACE,RACEASN
2015,2015,GA,Georgia,27.9,Non-Hispanic White,"(32.83968109300048, -83.62758034599966)",Non-Hispanic White,RACE,RACEWHT
2015,2015,GA,Georgia,28.3,2 or more races,"(32.83968109300048, -83.62758034599966)",2 or more races,RACE,RACE2PLUS
2015,2015,GA,Georgia,30.2,Hispanic,"(32.83968109300048, -83.62758034599966)",Hispanic,RACE,RACEHIS
2015,2015,GA,Georgia,37.3,Non-Hispanic Black,"(32.83968109300048, -83.62758034599966)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,GU,Guam,14.9,Non-Hispanic White,"(13.444304, 144.793731)",Non-Hispanic White,RACE,RACEWHT
2014,2014,GU,Guam,,Non-Hispanic Black,"(13.444304, 144.793731)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,GU,Guam,32.4,Hispanic,"(13.444304, 144.793731)",Hispanic,RACE,RACEHIS
2014,2014,GU,Guam,10.5,Asian,"(13.444304, 144.793731)",Asian,RACE,RACEASN
2014,2014,GU,Guam,39.8,Hawaiian/Pacific Islander,"(13.444304, 144.793731)",Hawaiian/Pacific Islander,RACE,RACEHPI
2014,2014,GU,Guam,,American Indian/Alaska Native,"(13.444304, 144.793731)",American Indian/Alaska Native,RACE,RACENAA
2014,2014,GU,Guam,32.5,2 or more races,"(13.444304, 144.793731)",2 or more races,RACE,RACE2PLUS
2014,2014,GU,Guam,,Other,"(13.444304, 144.793731)",Other,RACE,RACEOTH
2015,2015,GU,Guam,,American Indian/Alaska Native,"(13.444304, 144.793731)",American Indian/Alaska Native,RACE,RACENAA
2015,2015,GU,Guam,,Non-Hispanic Black,"(13.444304, 144.793731)",Non-Hispanic Black,RACE,RACEBLK
2015,2015,GU,Guam,,Other,"(13.444304, 144.793731)",Other,RACE,RACEOTH
2015,2015,GU,Guam,9.9,Asian,"(13.444304, 144.793731)",Asian,RACE,RACEASN
2015,2015,GU,Guam,29.3,Non-Hispanic White,"(13.444304, 144.793731)",Non-Hispanic White,RACE,RACEWHT
2015,2015,GU,Guam,31.2,2 or more races,"(13.444304, 144.793731)",2 or more races,RACE,RACE2PLUS
2015,2015,GU,Guam,35.5,Hispanic,"(13.444304, 144.793731)",Hispanic,RACE,RACEHIS
2015,2015,GU,Guam,45.1,Hawaiian/Pacific Islander,"(13.444304, 144.793731)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,HI,Hawaii,19,Non-Hispanic White,"(21.304850435000446, -157.85774940299973)",Non-Hispanic White,RACE,RACEWHT
2011,2011,HI,Hawaii,,Non-Hispanic Black,"(21.304850435000446, -157.85774940299973)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,HI,Hawaii,26.8,Hispanic,"(21.304850435000446, -157.85774940299973)",Hispanic,RACE,RACEHIS
2011,2011,HI,Hawaii,16,Asian,"(21.304850435000446, -157.85774940299973)",Asian,RACE,RACEASN
2011,2011,HI,Hawaii,45.5,Hawaiian/Pacific Islander,"(21.304850435000446, -157.85774940299973)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,HI,Hawaii,,American Indian/Alaska Native,"(21.304850435000446, -157.85774940299973)",American Indian/Alaska Native,RACE,RACENAA
2011,2011,HI,Hawaii,32.5,2 or more races,"(21.304850435000446, -157.85774940299973)",2 or more races,RACE,RACE2PLUS
2011,2011,HI,Hawaii,23.2,Other,"(21.304850435000446, -157.85774940299973)",Other,RACE,RACEOTH
2012,2012,HI,Hawaii,19.7,Non-Hispanic White,"(21.304850435000446, -157.85774940299973)",Non-Hispanic White,RACE,RACEWHT
2012,2012,HI,Hawaii,40,Non-Hispanic Black,"(21.304850435000446, -157.85774940299973)",Non-Hispanic Black,RACE,RACEBLK
2012,2012,HI,Hawaii,28,Hispanic,"(21.304850435000446, -157.85774940299973)",Hispanic,RACE,RACEHIS
2012,2012,HI,Hawaii,16.7,Asian,"(21.304850435000446, -157.85774940299973)",Asian,RACE,RACEASN
2012,2012,HI,Hawaii,51.4,Hawaiian/Pacific Islander,"(21.304850435000446, -157.85774940299973)",Hawaiian/Pacific Islander,RACE,RACEHPI
2012,2012,HI,Hawaii,,American Indian/Alaska Native,"(21.304850435000446, -157.85774940299973)",American Indian/Alaska Native,RACE,RACENAA
2012,2012,HI,Hawaii,34.1,2 or more races,"(21.304850435000446, -157.85774940299973)",2 or more races,RACE,RACE2PLUS
2012,2012,HI,Hawaii,21.2,Other,"(21.304850435000446, -157.85774940299973)",Other,RACE,RACEOTH
2013,2013,HI,Hawaii,19.1,Non-Hispanic White,"(21.304850435000446, -157.85774940299973)",Non-Hispanic White,RACE,RACEWHT
2013,2013,HI,Hawaii,,Non-Hispanic Black,"(21.304850435000446, -157.85774940299973)",Non-Hispanic Black,RACE,RACEBLK
2013,2013,HI,Hawaii,32.9,Hispanic,"(21.304850435000446, -157.85774940299973)",Hispanic,RACE,RACEHIS
2013,2013,HI,Hawaii,11.9,Asian,"(21.304850435000446, -157.85774940299973)",Asian,RACE,RACEASN
2013,2013,HI,Hawaii,56.2,Hawaiian/Pacific Islander,"(21.304850435000446, -157.85774940299973)",Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,HI,Hawaii,,American Indian/Alaska Native,"(21.304850435000446, -157.85774940299973)",American Indian/Alaska Native,RACE,RACENAA
2013,2013,HI,Hawaii,33.9,2 or more races,"(21.304850435000446, -157.85774940299973)",2 or more races,RACE,RACE2PLUS
2013,2013,HI,Hawaii,23.7,Other,"(21.304850435000446, -157.85774940299973)",Other,RACE,RACEOTH
2014,2014,HI,Hawaii,32.3,Hispanic,"(21.304850435000446, -157.85774940299973)",Hispanic,RACE,RACEHIS
2014,2014,HI,Hawaii,17.6,Non-Hispanic White,"(21.304850435000446, -157.85774940299973)",Non-Hispanic White,RACE,RACEWHT
2014,2014,HI,Hawaii,34.3,Non-Hispanic Black,"(21.304850435000446, -157.85774940299973)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,HI,Hawaii,15.2,Asian,"(21.304850435000446, -157.85774940299973)",Asian,RACE,RACEASN
2014,2014,HI,Hawaii,51.9,Hawaiian/Pacific Islander,"(21.304850435000446, -157.85774940299973)",Hawaiian/Pacific Islander,RACE,RACEHPI
2014,2014,HI,Hawaii,,American Indian/Alaska Native,"(21.304850435000446, -157.85774940299973)",American Indian/Alaska Native,RACE,RACENAA
2014,2014,HI,Hawaii,32.1,2 or more races,"(21.304850435000446, -157.85774940299973)",2 or more races,RACE,RACE2PLUS
2014,2014,HI,Hawaii,,Other,"(21.304850435000446, -157.85774940299973)",Other,RACE,RACEOTH
2015,2015,HI,Hawaii,,American Indian/Alaska Native,"(21.304850435000446, -157.85774940299973)",American Indian/Alaska Native,RACE,RACENAA
2015,2015,HI,Hawaii,,Non-Hispanic Black,"(21.304850435000446, -157.85774940299973)",Non-Hispanic Black,RACE,RACEBLK
2015,2015,HI,Hawaii,,Other,"(21.304850435000446, -157.85774940299973)",Other,RACE,RACEOTH
2015,2015,HI,Hawaii,16,Asian,"(21.304850435000446, -157.85774940299973)",Asian,RACE,RACEASN
2015,2015,HI,Hawaii,17.2,Non-Hispanic White,"(21.304850435000446, -157.85774940299973)",Non-Hispanic White,RACE,RACEWHT
2015,2015,HI,Hawaii,30.3,Hispanic,"(21.304850435000446, -157.85774940299973)",Hispanic,RACE,RACEHIS
2015,2015,HI,Hawaii,31.8,2 or more races,"(21.304850435000446, -157.85774940299973)",2 or more races,RACE,RACE2PLUS
2015,2015,HI,Hawaii,55.3,Hawaiian/Pacific Islander,"(21.304850435000446, -157.85774940299973)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,ID,Idaho,25.9,Non-Hispanic White,"(43.682630005000476, -114.3637300419997)",Non-Hispanic White,RACE,RACEWHT
2011,2011,ID,Idaho,,Non-Hispanic Black,"(43.682630005000476, -114.3637300419997)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,ID,Idaho,35.9,Hispanic,"(43.682630005000476, -114.3637300419997)",Hispanic,RACE,RACEHIS
2011,2011,ID,Idaho,,Asian,"(43.682630005000476, -114.3637300419997)",Asian,RACE,RACEASN
2011,2011,ID,Idaho,,Hawaiian/Pacific Islander,"(43.682630005000476, -114.3637300419997)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,ID,Idaho,28.6,American Indian/Alaska Native,"(43.682630005000476, -114.3637300419997)",American Indian/Alaska Native,RACE,RACENAA
2011,2011,ID,Idaho,34.9,2 or more races,"(43.682630005000476, -114.3637300419997)",2 or more races,RACE,RACE2PLUS
2011,2011,ID,Idaho,,Other,"(43.682630005000476, -114.3637300419997)",Other,RACE,RACEOTH
2012,2012,ID,Idaho,26,Non-Hispanic White,"(43.682630005000476, -114.3637300419997)",Non-Hispanic White,RACE,RACEWHT
2012,2012,ID,Idaho,,Non-Hispanic Black,"(43.682630005000476, -114.3637300419997)",Non-Hispanic Black,RACE,RACEBLK
2012,2012,ID,Idaho,31.6,Hispanic,"(43.682630005000476, -114.3637300419997)",Hispanic,RACE,RACEHIS
2012,2012,ID,Idaho,,Asian,"(43.682630005000476, -114.3637300419997)",Asian,RACE,RACEASN
2012,2012,ID,Idaho,,Hawaiian/Pacific Islander,"(43.682630005000476, -114.3637300419997)",Hawaiian/Pacific Islander,RACE,RACEHPI
2012,2012,ID,Idaho,37.4,American Indian/Alaska Native,"(43.682630005000476, -114.3637300419997)",American Indian/Alaska Native,RACE,RACENAA
2012,2012,ID,Idaho,32.5,2 or more races,"(43.682630005000476, -114.3637300419997)",2 or more races,RACE,RACE2PLUS
2012,2012,ID,Idaho,,Other,"(43.682630005000476, -114.3637300419997)",Other,RACE,RACEOTH
2013,2013,ID,Idaho,38.6,Hispanic,"(43.682630005000476, -114.3637300419997)",Hispanic,RACE,RACEHIS
2013,2013,ID,Idaho,28.4,Non-Hispanic White,"(43.682630005000476, -114.3637300419997)",Non-Hispanic White,RACE,RACEWHT
2013,2013,ID,Idaho,,Non-Hispanic Black,"(43.682630005000476, -114.3637300419997)",Non-Hispanic Black,RACE,RACEBLK
2013,2013,ID,Idaho,,Asian,"(43.682630005000476, -114.3637300419997)",Asian,RACE,RACEASN
2013,2013,ID,Idaho,,Hawaiian/Pacific Islander,"(43.682630005000476, -114.3637300419997)",Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,ID,Idaho,45.4,American Indian/Alaska Native,"(43.682630005000476, -114.3637300419997)",American Indian/Alaska Native,RACE,RACENAA
2013,2013,ID,Idaho,41.9,2 or more races,"(43.682630005000476, -114.3637300419997)",2 or more races,RACE,RACE2PLUS
2013,2013,ID,Idaho,,Other,"(43.682630005000476, -114.3637300419997)",Other,RACE,RACEOTH
2014,2014,ID,Idaho,27.7,Non-Hispanic White,"(43.682630005000476, -114.3637300419997)",Non-Hispanic White,RACE,RACEWHT
2014,2014,ID,Idaho,,Non-Hispanic Black,"(43.682630005000476, -114.3637300419997)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,ID,Idaho,37.6,Hispanic,"(43.682630005000476, -114.3637300419997)",Hispanic,RACE,RACEHIS
2014,2014,ID,Idaho,,Asian,"(43.682630005000476, -114.3637300419997)",Asian,RACE,RACEASN
2014,2014,ID,Idaho,,Hawaiian/Pacific Islander,"(43.682630005000476, -114.3637300419997)",Hawaiian/Pacific Islander,RACE,RACEHPI
2014,2014,ID,Idaho,37.7,American Indian/Alaska Native,"(43.682630005000476, -114.3637300419997)",American Indian/Alaska Native,RACE,RACENAA
2014,2014,ID,Idaho,31.8,2 or more races,"(43.682630005000476, -114.3637300419997)",2 or more races,RACE,RACE2PLUS
2014,2014,ID,Idaho,,Other,"(43.682630005000476, -114.3637300419997)",Other,RACE,RACEOTH
2015,2015,ID,Idaho,,Asian,"(43.682630005000476, -114.3637300419997)",Asian,RACE,RACEASN
2015,2015,ID,Idaho,,Hawaiian/Pacific Islander,"(43.682630005000476, -114.3637300419997)",Hawaiian/Pacific Islander,RACE,RACEHPI
2015,2015,ID,Idaho,,Non-Hispanic Black,"(43.682630005000476, -114.3637300419997)",Non-Hispanic Black,RACE,RACEBLK
2015,2015,ID,Idaho,,Other,"(43.682630005000476, -114.3637300419997)",Other,RACE,RACEOTH
2015,2015,ID,Idaho,28.1,Non-Hispanic White,"(43.682630005000476, -114.3637300419997)",Non-Hispanic White,RACE,RACEWHT
2015,2015,ID,Idaho,28.9,American Indian/Alaska Native,"(43.682630005000476, -114.3637300419997)",American Indian/Alaska Native,RACE,RACENAA
2015,2015,ID,Idaho,33.1,Hispanic,"(43.682630005000476, -114.3637300419997)",Hispanic,RACE,RACEHIS
2015,2015,ID,Idaho,36.7,2 or more races,"(43.682630005000476, -114.3637300419997)",2 or more races,RACE,RACE2PLUS
2011,2011,IL,Illinois,26,Non-Hispanic White,"(40.48501028300046, -88.99771017799969)",Non-Hispanic White,RACE,RACEWHT
2011,2011,IL,Illinois,39.2,Non-Hispanic Black,"(40.48501028300046, -88.99771017799969)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,IL,Illinois,25.2,Hispanic,"(40.48501028300046, -88.99771017799969)",Hispanic,RACE,RACEHIS
2011,2011,IL,Illinois,4.6,Asian,"(40.48501028300046, -88.99771017799969)",Asian,RACE,RACEASN
2011,2011,IL,Illinois,,Hawaiian/Pacific Islander,"(40.48501028300046, -88.99771017799969)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,IL,Illinois,,American Indian/Alaska Native,"(40.48501028300046, -88.99771017799969)",American Indian/Alaska Native,RACE,RACENAA
2011,2011,IL,Illinois,33.4,2 or more races,"(40.48501028300046, -88.99771017799969)",2 or more races,RACE,RACE2PLUS
2011,2011,IL,Illinois,,Other,"(40.48501028300046, -88.99771017799969)",Other,RACE,RACEOTH
2012,2012,IL,Illinois,28.3,Hispanic,"(40.48501028300046, -88.99771017799969)",Hispanic,RACE,RACEHIS
2012,2012,IL,Illinois,27.2,Non-Hispanic White,"(40.48501028300046, -88.99771017799969)",Non-Hispanic White,RACE,RACEWHT
2012,2012,IL,Illinois,39.2,Non-Hispanic Black,"(40.48501028300046, -88.99771017799969)",Non-Hispanic Black,RACE,RACEBLK
2012,2012,IL,Illinois,7.1,Asian,"(40.48501028300046, -88.99771017799969)",Asian,RACE,RACEASN
2012,2012,IL,Illinois,,Hawaiian/Pacific Islander,"(40.48501028300046, -88.99771017799969)",Hawaiian/Pacific Islander,RACE,RACEHPI
2012,2012,IL,Illinois,,American Indian/Alaska Native,"(40.48501028300046, -88.99771017799969)",American Indian/Alaska Native,RACE,RACENAA
2012,2012,IL,Illinois,20,2 or more races,"(40.48501028300046, -88.99771017799969)",2 or more races,RACE,RACE2PLUS
2012,2012,IL,Illinois,,Other,"(40.48501028300046, -88.99771017799969)",Other,RACE,RACEOTH
2013,2013,IL,Illinois,27.9,Non-Hispanic White,"(40.48501028300046, -88.99771017799969)",Non-Hispanic White,RACE,RACEWHT
2013,2013,IL,Illinois,37.9,Non-Hispanic Black,"(40.48501028300046, -88.99771017799969)",Non-Hispanic Black,RACE,RACEBLK
2013,2013,IL,Illinois,35.8,Hispanic,"(40.48501028300046, -88.99771017799969)",Hispanic,RACE,RACEHIS
2013,2013,IL,Illinois,7.9,Asian,"(40.48501028300046, -88.99771017799969)",Asian,RACE,RACEASN
2013,2013,IL,Illinois,,Hawaiian/Pacific Islander,"(40.48501028300046, -88.99771017799969)",Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,IL,Illinois,,American Indian/Alaska Native,"(40.48501028300046, -88.99771017799969)",American Indian/Alaska Native,RACE,RACENAA
2013,2013,IL,Illinois,26.5,2 or more races,"(40.48501028300046, -88.99771017799969)",2 or more races,RACE,RACE2PLUS
2013,2013,IL,Illinois,,Other,"(40.48501028300046, -88.99771017799969)",Other,RACE,RACEOTH
2014,2014,IL,Illinois,27.5,Non-Hispanic White,"(40.48501028300046, -88.99771017799969)",Non-Hispanic White,RACE,RACEWHT
2014,2014,IL,Illinois,43.8,Non-Hispanic Black,"(40.48501028300046, -88.99771017799969)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,IL,Illinois,34.9,Hispanic,"(40.48501028300046, -88.99771017799969)",Hispanic,RACE,RACEHIS
2014,2014,IL,Illinois,3.2,Asian,"(40.48501028300046, -88.99771017799969)",Asian,RACE,RACEASN
2014,2014,IL,Illinois,,Hawaiian/Pacific Islander,"(40.48501028300046, -88.99771017799969)",Hawaiian/Pacific Islander,RACE,RACEHPI
2014,2014,IL,Illinois,,American Indian/Alaska Native,"(40.48501028300046, -88.99771017799969)",American Indian/Alaska Native,RACE,RACENAA
2014,2014,IL,Illinois,23.1,2 or more races,"(40.48501028300046, -88.99771017799969)",2 or more races,RACE,RACE2PLUS
2014,2014,IL,Illinois,,Other,"(40.48501028300046, -88.99771017799969)",Other,RACE,RACEOTH
2015,2015,IL,Illinois,,American Indian/Alaska Native,"(40.48501028300046, -88.99771017799969)",American Indian/Alaska Native,RACE,RACENAA
2015,2015,IL,Illinois,,Hawaiian/Pacific Islander,"(40.48501028300046, -88.99771017799969)",Hawaiian/Pacific Islander,RACE,RACEHPI
2015,2015,IL,Illinois,,Other,"(40.48501028300046, -88.99771017799969)",Other,RACE,RACEOTH
2015,2015,IL,Illinois,9.6,Asian,"(40.48501028300046, -88.99771017799969)",Asian,RACE,RACEASN
2015,2015,IL,Illinois,22.4,2 or more races,"(40.48501028300046, -88.99771017799969)",2 or more races,RACE,RACE2PLUS
2015,2015,IL,Illinois,29.4,Non-Hispanic White,"(40.48501028300046, -88.99771017799969)",Non-Hispanic White,RACE,RACEWHT
2015,2015,IL,Illinois,37.4,Hispanic,"(40.48501028300046, -88.99771017799969)",Hispanic,RACE,RACEHIS
2015,2015,IL,Illinois,40.6,Non-Hispanic Black,"(40.48501028300046, -88.99771017799969)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,IN,Indiana,29.5,Non-Hispanic White,"(39.766910452000445, -86.14996019399968)",Non-Hispanic White,RACE,RACEWHT
2011,2011,IN,Indiana,42.2,Non-Hispanic Black,"(39.766910452000445, -86.14996019399968)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,IN,Indiana,34.7,Hispanic,"(39.766910452000445, -86.14996019399968)",Hispanic,RACE,RACEHIS
2011,2011,IN,Indiana,,Asian,"(39.766910452000445, -86.14996019399968)",Asian,RACE,RACEASN
2011,2011,IN,Indiana,,Hawaiian/Pacific Islander,"(39.766910452000445, -86.14996019399968)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,IN,Indiana,37.9,American Indian/Alaska Native,"(39.766910452000445, -86.14996019399968)",American Indian/Alaska Native,RACE,RACENAA
2011,2011,IN,Indiana,45.4,2 or more races,"(39.766910452000445, -86.14996019399968)",2 or more races,RACE,RACE2PLUS
2011,2011,IN,Indiana,,Other,"(39.766910452000445, -86.14996019399968)",Other,RACE,RACEOTH
2012,2012,IN,Indiana,30.2,Non-Hispanic White,"(39.766910452000445, -86.14996019399968)",Non-Hispanic White,RACE,RACEWHT
2012,2012,IN,Indiana,43.7,Non-Hispanic Black,"(39.766910452000445, -86.14996019399968)",Non-Hispanic Black,RACE,RACEBLK
2012,2012,IN,Indiana,30.3,Hispanic,"(39.766910452000445, -86.14996019399968)",Hispanic,RACE,RACEHIS
2012,2012,IN,Indiana,14.7,Asian,"(39.766910452000445, -86.14996019399968)",Asian,RACE,RACEASN
2012,2012,IN,Indiana,,Hawaiian/Pacific Islander,"(39.766910452000445, -86.14996019399968)",Hawaiian/Pacific Islander,RACE,RACEHPI
2012,2012,IN,Indiana,,American Indian/Alaska Native,"(39.766910452000445, -86.14996019399968)",American Indian/Alaska Native,RACE,RACENAA
2012,2012,IN,Indiana,42.6,2 or more races,"(39.766910452000445, -86.14996019399968)",2 or more races,RACE,RACE2PLUS
2012,2012,IN,Indiana,,Other,"(39.766910452000445, -86.14996019399968)",Other,RACE,RACEOTH
2013,2013,IN,Indiana,30.6,Non-Hispanic White,"(39.766910452000445, -86.14996019399968)",Non-Hispanic White,RACE,RACEWHT
2013,2013,IN,Indiana,41.7,Non-Hispanic Black,"(39.766910452000445, -86.14996019399968)",Non-Hispanic Black,RACE,RACEBLK
2013,2013,IN,Indiana,34.9,Hispanic,"(39.766910452000445, -86.14996019399968)",Hispanic,RACE,RACEHIS
2013,2013,IN,Indiana,7,Asian,"(39.766910452000445, -86.14996019399968)",Asian,RACE,RACEASN
2013,2013,IN,Indiana,,Hawaiian/Pacific Islander,"(39.766910452000445, -86.14996019399968)",Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,IN,Indiana,44.7,American Indian/Alaska Native,"(39.766910452000445, -86.14996019399968)",American Indian/Alaska Native,RACE,RACENAA
2013,2013,IN,Indiana,37.3,2 or more races,"(39.766910452000445, -86.14996019399968)",2 or more races,RACE,RACE2PLUS
2013,2013,IN,Indiana,,Other,"(39.766910452000445, -86.14996019399968)",Other,RACE,RACEOTH
2014,2014,IN,Indiana,32.4,Non-Hispanic White,"(39.766910452000445, -86.14996019399968)",Non-Hispanic White,RACE,RACEWHT
2014,2014,IN,Indiana,42.1,Non-Hispanic Black,"(39.766910452000445, -86.14996019399968)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,IN,Indiana,30.8,Hispanic,"(39.766910452000445, -86.14996019399968)",Hispanic,RACE,RACEHIS
2014,2014,IN,Indiana,10.4,Asian,"(39.766910452000445, -86.14996019399968)",Asian,RACE,RACEASN
2014,2014,IN,Indiana,,Hawaiian/Pacific Islander,"(39.766910452000445, -86.14996019399968)",Hawaiian/Pacific Islander,RACE,RACEHPI
