YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,AgeYear,Education,Gender,Income,RaceEthnicity,Stratification1,StratificationCategoryId1,StratificationID1,Simple
2011,2011,KS,Kansas,29.1,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,KY,Kentucky,31.1,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,LA,Louisiana,33.8,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,ME,Maine,27.6,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,MD,Maryland,27.9,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,MA,Massachusetts,21.4,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,MI,Michigan,30.7,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,MN,Minnesota,22.9,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,MS,Mississippi,37.3,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,MO,Missouri,30.7,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,MT,Montana,23.3,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,US,National,27.1,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,NE,Nebraska,27.6,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,NV,Nevada,23.4,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,NH,New Hampshire,24.1,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,NJ,New Jersey,21.8,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,NM,New Mexico,26.3,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,NY,New York,23.7,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,NC,North Carolina,30,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,ND,North Dakota,25.4,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,OH,Ohio,27.6,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,OK,Oklahoma,31.5,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,OR,Oregon,27.2,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,PA,Pennsylvania,27.6,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,RI,Rhode Island,23.3,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,SC,South Carolina,33,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,SD,South Dakota,26.3,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,TN,Tennessee,30.4,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,TX,Texas,29.9,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,UT,Utah,22.9,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,VT,Vermont,23.6,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,VA,Virginia,28.6,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,WA,Washington,24.9,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,WV,West Virginia,34.2,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,WI,Wisconsin,26.1,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,WY,Wyoming,23.8,,,,Female,,,Female,GEN,FEMALE,F
2011,2011,AL,Alabama,33.8,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,AK,Alaska,25.8,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,AZ,Arizona,25.9,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,AR,Arkansas,31,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,CA,California,24,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,CO,Colorado,22.3,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,CT,Connecticut,26.4,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,DE,Delaware,30.9,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,DC,DC,31,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,FL,Florida,27.4,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,GA,Georgia,28.6,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,HI,Hawaii,22.8,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,ID,Idaho,27.6,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,IL,Illinois,28,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,IN,Indiana,31.8,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,IA,Iowa,29,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,KS,Kansas,31.3,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,KY,Kentucky,30.6,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,LA,Louisiana,35.8,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,ME,Maine,28.4,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,MD,Maryland,29.3,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,MA,Massachusetts,24.1,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,MI,Michigan,32.8,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,MN,Minnesota,27.2,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,MS,Mississippi,36.9,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,MO,Missouri,31.5,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,MT,Montana,25.3,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,US,National,28.6,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,NE,Nebraska,30,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
