YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Gender,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,CO,Colorado,21.1,,Male,"(38.843840757000464, -106.13361092099967)",Male,GEN,MALE
2011,2011,CO,Colorado,20.3,,Female,"(38.843840757000464, -106.13361092099967)",Female,GEN,FEMALE
2012,2012,CO,Colorado,21.1,,Male,"(38.843840757000464, -106.13361092099967)",Male,GEN,MALE
2012,2012,CO,Colorado,19.8,,Female,"(38.843840757000464, -106.13361092099967)",Female,GEN,FEMALE
2013,2013,CO,Colorado,20.8,,Male,"(38.843840757000464, -106.13361092099967)",Male,GEN,MALE
2013,2013,CO,Colorado,21.8,,Female,"(38.843840757000464, -106.13361092099967)",Female,GEN,FEMALE
2014,2014,CO,Colorado,21.9,,Male,"(38.843840757000464, -106.13361092099967)",Male,GEN,MALE
2014,2014,CO,Colorado,20.7,,Female,"(38.843840757000464, -106.13361092099967)",Female,GEN,FEMALE
2015,2015,CO,Colorado,20.2,,Male,"(38.843840757000464, -106.13361092099967)",Male,GEN,MALE
2015,2015,CO,Colorado,20.2,,Female,"(38.843840757000464, -106.13361092099967)",Female,GEN,FEMALE
2011,2011,CT,Connecticut,25.4,,Male,"(41.56266102000046, -72.64984095199964)",Male,GEN,MALE
2011,2011,CT,Connecticut,23.6,,Female,"(41.56266102000046, -72.64984095199964)",Female,GEN,FEMALE
2012,2012,CT,Connecticut,27.1,,Male,"(41.56266102000046, -72.64984095199964)",Male,GEN,MALE
2012,2012,CT,Connecticut,24.1,,Female,"(41.56266102000046, -72.64984095199964)",Female,GEN,FEMALE
2013,2013,CT,Connecticut,25.5,,Male,"(41.56266102000046, -72.64984095199964)",Male,GEN,MALE
2013,2013,CT,Connecticut,24.4,,Female,"(41.56266102000046, -72.64984095199964)",Female,GEN,FEMALE
2014,2014,CT,Connecticut,26.5,,Male,"(41.56266102000046, -72.64984095199964)",Male,GEN,MALE
2014,2014,CT,Connecticut,26,,Female,"(41.56266102000046, -72.64984095199964)",Female,GEN,FEMALE
2015,2015,CT,Connecticut,26.6,,Male,"(41.56266102000046, -72.64984095199964)",Male,GEN,MALE
2015,2015,CT,Connecticut,23.9,,Female,"(41.56266102000046, -72.64984095199964)",Female,GEN,FEMALE
2011,2011,DE,Delaware,29,,Male,"(39.008830667000495, -75.57774116799965)",Male,GEN,MALE
2011,2011,DE,Delaware,28.6,,Female,"(39.008830667000495, -75.57774116799965)",Female,GEN,FEMALE
2012,2012,DE,Delaware,26,,Male,"(39.008830667000495, -75.57774116799965)",Male,GEN,MALE
2012,2012,DE,Delaware,27.8,,Female,"(39.008830667000495, -75.57774116799965)",Female,GEN,FEMALE
2013,2013,DE,Delaware,30.6,,Male,"(39.008830667000495, -75.57774116799965)",Male,GEN,MALE
2013,2013,DE,Delaware,31.5,,Female,"(39.008830667000495, -75.57774116799965)",Female,GEN,FEMALE
2014,2014,DE,Delaware,29.4,,Male,"(39.008830667000495, -75.57774116799965)",Male,GEN,MALE
2014,2014,DE,Delaware,31.9,,Female,"(39.008830667000495, -75.57774116799965)",Female,GEN,FEMALE
2015,2015,DE,Delaware,28.1,,Male,"(39.008830667000495, -75.57774116799965)",Male,GEN,MALE
2015,2015,DE,Delaware,31.2,,Female,"(39.008830667000495, -75.57774116799965)",Female,GEN,FEMALE
2011,2011,DC,District of Columbia,18.6,,Male,"(38.89037138500049, -77.03196112699965)",Male,GEN,MALE
2011,2011,DC,District of Columbia,28.4,,Female,"(38.89037138500049, -77.03196112699965)",Female,GEN,FEMALE
2012,2012,DC,District of Columbia,17.9,,Male,"(38.89037138500049, -77.03196112699965)",Male,GEN,MALE
2012,2012,DC,District of Columbia,25.5,,Female,"(38.89037138500049, -77.03196112699965)",Female,GEN,FEMALE
2013,2013,DC,District of Columbia,20.6,,Male,"(38.89037138500049, -77.03196112699965)",Male,GEN,MALE
2013,2013,DC,District of Columbia,24.9,,Female,"(38.89037138500049, -77.03196112699965)",Female,GEN,FEMALE
2014,2014,DC,District of Columbia,19.5,,Male,"(38.89037138500049, -77.03196112699965)",Male,GEN,MALE
2014,2014,DC,District of Columbia,23.7,,Female,"(38.89037138500049, -77.03196112699965)",Female,GEN,FEMALE
2015,2015,DC,District of Columbia,17.6,,Male,"(38.89037138500049, -77.03196112699965)",Male,GEN,MALE
2015,2015,DC,District of Columbia,26.4,,Female,"(38.89037138500049, -77.03196112699965)",Female,GEN,FEMALE
