YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2015,2015,RI,Rhode Island,26,Total,"(41.70828019300046, -71.52247031399963)",Total,OVR,OVERALL
2015,2015,SC,South Carolina,31.7,Total,"(33.998821303000454, -81.04537120699968)",Total,OVR,OVERALL
2015,2015,SD,South Dakota,30.4,Total,"(44.353130053000484, -100.3735306369997)",Total,OVR,OVERALL
2015,2015,TN,Tennessee,33.8,Total,"(35.68094058000048, -85.77449091399967)",Total,OVR,OVERALL
2015,2015,TX,Texas,32.4,Total,"(31.827240407000488, -99.42677020599967)",Total,OVR,OVERALL
2015,2015,UT,Utah,24.5,Total,"(39.360700171000474, -111.58713063499971)",Total,OVR,OVERALL
2015,2015,VT,Vermont,25.1,Total,"(43.62538123900049, -72.51764079099962)",Total,OVR,OVERALL
2015,2015,VA,Virginia,29.2,Total,"(37.54268067400045, -78.45789046299967)",Total,OVR,OVERALL
2015,2015,WA,Washington,26.4,Total,"(47.52227862900048, -120.47001078999972)",Total,OVR,OVERALL
2015,2015,WV,West Virginia,35.6,Total,"(38.66551020200046, -80.71264013499967)",Total,OVR,OVERALL
2015,2015,WI,Wisconsin,30.7,Total,"(44.39319117400049, -89.81637074199966)",Total,OVR,OVERALL
2015,2015,WY,Wyoming,29,Total,"(43.23554134300048, -108.10983035299967)",Total,OVR,OVERALL
2015,2015,GU,Guam,31.6,Total,"(13.444304, 144.793731)",Total,OVR,OVERALL
2015,2015,PR,Puerto Rico,29.5,Total,"(18.220833, -66.590149)",Total,OVR,OVERALL
